lat,lon,name
48.8960928,2.328256,O'Tacos
48.8328561,2.3610753,Snap Food
48.8446658,2.3899217,Subway
48.8350202,2.2887764,Five Chicken
48.8825599,2.3377557,McDonald's
48.8304109,2.3569512,Tang Gourmet
48.8505641,2.3458479,Délice Gourmand Sandwich
48.8491427,2.342205,Goiko
48.8496939,2.3425595,KFC
48.8499965,2.3427394,Frui'Tea
48.8464002,2.3430461,New Luxembourg
48.8768274,2.3154292,Sur Le Pouce
48.858095,2.4069089,Pizza M
48.8570117,2.4079775,Dream food
48.8648537,2.3969431,0'Tacos
48.8693235,2.3602586,Les Tontons veg
48.8362526,2.3943323,Restaurant Kiraz
48.8618218,2.351243,Crêperie de Paris
48.8551956,2.271862,Cosy
48.8686202,2.2917008,Class'croute
48.8655729,2.2888144,We Are Juice
48.8654023,2.2892331,Manjé & Co
48.8659106,2.2896026,PeGast
48.8666727,2.2896122,Pomme de Pain
48.8657015,2.2894505,Speed Rabbit Pizza Paris Kleber
48.8666223,2.3829258,Soleil d’Istambul
48.835382,2.288716,Pizza Eva
48.8776378,2.3267921,Pacha Kebab
48.8593308,2.3476821,Chamas Tacos
48.8614662,2.3529099,Coffee Station
48.8597929,2.3481612,Thym-Thym
48.8813958,2.3725664,Sushi Shop
48.8816605,2.3742025,Chez Tata
48.8733154,2.3614767,Star Fast Food
48.8415969,2.3246205,Mamy'Rosa
48.8430469,2.3258843,Pomme de Pain
48.8406398,2.3163536,Traiteur phénicien
48.8429071,2.3240641,Kebab Corner
48.8304057,2.3773491,Prêt À Manger
48.827435,2.3056152,Restaurant Élite
48.827252,2.3064254,Royal Food
48.8819888,2.3141295,Subway
48.8716988,2.3432474,La Crème de Paris
48.8723365,2.343317,Le Rapide
48.8615882,2.3522983,Sweet raviolis
48.8445865,2.3900144,Aux Délices de Reuilly
48.8455223,2.3888818,Burger Shop
48.8470414,2.3872131,Au Plaisir du Pain
48.8603374,2.3477659,O'Tacos
48.8603213,2.3479639,Raāsa Cheese Naan
48.8605765,2.3486458,G la Dalle
48.8597934,2.3508151,Subway
48.8609476,2.347379,Five Guys
48.8205256,2.3499518,Le Charlety
48.8498626,2.3938772,Restaurant Kusadasi
48.8237126,2.3653208,Thieng Heng
48.8211618,2.3417447,Au P'tit Liard
48.8194688,2.3590386,Stop Pain
48.8226598,2.3460965,Pâtes Thai
