lat,lon,name,type
48.8833528,2.3881059,Moshiko,Fastfood
48.8761563,2.3441613,Mcdonalds,Fastfood
48.8847184,2.3671039,Soleilliban,Fastfood
48.8355297,2.3861736,Lecommissert,Fastfood
48.8462737,2.375509,Laboîteàsandwichs,Fastfood
48.8712904,2.3768461,Eatime,Fastfood
48.8775239,2.3395383,Maisonzhang,Fastfood
48.8603926,2.2748938,Lepetit97bio,Fastfood
48.8625399,2.2760893,Deliscafé,Fastfood
48.8625589,2.2762743,Macdoner,Fastfood
48.8630577,2.2765543,Déliceimpérial,Fastfood
48.8678398,2.2813384,Mcdonalds,Fastfood
48.8681953,2.282156,Matsuri,Fastfood
48.8500824,2.3837411,Lenilus,Fastfood
48.8768931,2.3327041,Lucien,Fastfood
48.8769081,2.3380397,Paristanbul,Fastfood
48.8714703,2.3420416,Mezzencore,Fastfood
48.8715371,2.3499815,Bulliz,Fastfood
48.8759259,2.3559201,Kebaphaus,Fastfood
48.8782003,2.3567013,Eattos,Fastfood
48.8792586,2.3573016,Orientexpress,Fastfood
48.8783334,2.3564225,Bombaypalace,Fastfood
48.8828255,2.3711188,Lunchclub,Fastfood
48.8828578,2.3714062,Asieye,Fastfood
48.8662573,2.3370528,Bistrotrichelieu,Fastfood
48.8699611,2.3351928,Délicesmoshé,Fastfood
48.8685831,2.3366834,Happateï,Fastfood
48.8648457,2.3746468,Hewi,Fastfood
48.8649463,2.3745576,Lecamionquifume,Fastfood
48.870349,2.3317039,Fiveguys,Fastfood
48.8798285,2.354258,Burgerking,Fastfood
48.8799786,2.3538055,Mcdonalds,Fastfood
48.879891,2.3540887,Berliner,Fastfood
48.8799229,2.3539989,Asiaexpress,Fastfood
48.8535604,2.4103242,Chickensking,Fastfood
48.8533426,2.4103453,Mcdonalds,Fastfood
48.8530681,2.4104272,Bigfarmer,Fastfood
48.837267,2.2787578,Lina,Fastfood
48.8674425,2.3361747,Jujiya,Fastfood
48.827741,2.3261743,Kfc,Fastfood
48.8283989,2.3276848,Mcdonalds,Fastfood
48.8290544,2.3276046,Burgerking,Fastfood
48.8234685,2.3234614,Lesdélicesdorléans,Fastfood
